City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,sept-iles,50.2001,-66.3821,269.44,53,20,3.6,CA,1676241079
308,aksarka,66.5606,67.7975,260.55,94,79,6.67,RU,1676241179
309,cairns,-16.9167,145.7667,300.96,82,97,2.06,AU,1676241089
310,thabazimbi,-24.5917,27.4116,296.75,58,88,1.3,ZA,1676241015
311,fortuna,40.5982,-124.1573,287.0,79,0,8.23,US,1676241179
312,opuwo,-18.0607,13.84,294.47,40,69,2.5,NA,1676241180
313,betsiamites,48.9413,-68.646,271.37,85,53,3.25,CA,1676241180
314,cururupu,-1.8283,-44.8683,297.46,93,60,1.5,BR,1676241118
315,canavieiras,-15.675,-38.9472,298.01,86,5,2.46,BR,1676241180
316,tukan,53.8409,57.4552,254.44,96,99,1.75,RU,1676241180
317,ouadda,8.0777,22.4007,299.24,20,70,3.22,CF,1676241181
318,severo-kurilsk,50.6789,156.125,267.5,73,98,4.66,RU,1676241181
319,araouane,18.9048,-3.5265,299.06,13,85,4.79,ML,1676241181
320,caravelas,-17.7125,-39.2481,298.0,86,15,2.3,BR,1676241182
321,narsaq,60.9167,-46.05,257.27,73,100,1.29,GL,1676241182
322,marzuq,14.4,46.4667,288.27,10,22,2.36,YE,1676241183
323,yar-sale,66.8333,70.8333,262.29,92,96,8.23,RU,1676241183
324,sitka,57.0531,-135.33,279.09,75,100,5.14,US,1676241183
325,boa vista,2.8197,-60.6733,303.14,54,40,4.12,BR,1676241184
326,touros,-5.1989,-35.4608,300.33,77,100,6.45,BR,1676241184
327,half moon bay,37.4636,-122.4286,292.84,65,0,7.2,US,1676240937
328,normandin,48.8333,-72.5321,269.32,53,98,2.57,CA,1676241184
329,chicama,-7.8447,-79.1469,296.45,69,95,4.1,PE,1676241185
330,skibbereen,51.55,-9.2667,282.65,76,100,7.0,IE,1676241185
331,rio grande,-32.035,-52.0986,302.21,75,0,7.51,BR,1676241185
332,barcelos,41.5388,-8.6151,286.23,64,99,2.8,PT,1676241186
333,livingstonia,-10.606,34.1063,290.83,79,96,2.01,MW,1676241186
334,biak,-0.9131,122.8766,298.64,77,100,1.58,ID,1676241187
335,vagur,61.4732,-6.8119,281.17,85,98,12.34,FO,1676241187
336,wanning,18.8003,110.3967,295.62,95,42,3.91,CN,1676241188
337,gasa,31.5,34.4667,279.19,75,70,3.08,PS,1676241188
338,adrar,20.5022,-10.0711,299.64,13,100,9.99,MR,1676241189
339,pa sang,18.5262,98.9394,293.16,40,0,0.26,TH,1676241189
340,saint-francois,46.4154,3.9054,271.86,93,0,1.54,FR,1676241190
341,guilin,25.2819,110.2864,283.21,85,100,4.78,CN,1676241190
342,fort nelson,58.8053,-122.7002,270.34,80,100,3.09,CA,1676241030
343,kieta,-6.2167,155.6333,301.35,75,99,2.31,PG,1676241190
344,christchurch,-43.5333,172.6333,294.77,62,75,6.69,NZ,1676240907
345,liverpool,53.4106,-2.9779,279.55,84,0,4.63,GB,1676241191
346,lavrentiya,65.5833,-171.0,248.19,85,100,2.32,RU,1676241191
